DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,MONTO_OTORGADO_$,FINANCIAMIENTO_INMUEBLE,Plazo_MESES
Compra de vivienda,M,"1,735.00",26.97,Clase media,27,"57,037.00",55%,360
Compra de vivienda,F,"3,281.00",29.30,Clase media,27,"144,910.00",72%,360
Compra de vivienda,F,"1,043.00",44.70,Clase social,28,"42,519.00",100%,360
Construcción de vivienda,M,"5,016.00",29.45,Clase media,28,"89,115.00",85%,369
Construcción de vivienda,M,858.00,43.13,Clase media,28,"59,259.00",90%,360
Construcción de vivienda,F,816.00,53.02,Clase social,28,"48,148.00",100%,360
Compra de vivienda,F,991.00,41.82,Clase social,28,"30,444.00",97%,240
Construcción de vivienda,F,"1,037.00",44.38,Clase social,28,"48,148.00",100%,360
Construcción de vivienda,F,"1,618.00",42.99,Clase social,28,"48,147.00",100%,360
Compra de vivienda,M,"1,244.00",49.65,Clase media,28,"19,074.00",56%,360
Construcción de vivienda,F,651.00,48.22,Clase social,28,"32,333.00",97%,360
Construcción de vivienda,M,"2,155.00",43.08,Clase social,28,"30,752.00",95%,240
Construcción de vivienda,F,"1,551.00",47.16,Clase social,28,"32,693.00",94%,360
Construcción de vivienda,M,686.00,49.07,Clase social,28,"30,752.00",95%,240
Construcción de vivienda,F,"1,728.00",46.25,Clase social,28,"31,667.00",95%,360
Construcción de vivienda,F,605.00,49.29,Clase social,28,"30,333.00",90%,240
Construcción de vivienda,F,844.00,54.31,Clase social,28,"48,148.00",100%,360
Construcción de vivienda,M,"1,593.00",78.71,Clase media,28,"61,939.00",95%,360
Construcción de vivienda,M,608.00,48.56,Clase social,28,"34,130.00",97%,360
Construcción de vivienda,F,"1,618.00",34.56,Clase social,28,"27,778.00",97%,360
Construcción de vivienda,F,"1,024.00",34.53,Clase social,28,"34,130.00",97%,360
Construcción de vivienda,F,"1,995.00",28.62,Clase social,28,"27,778.00",88%,360
Compra de vivienda,F,"1,546.00",28.94,Clase media,28,"111,111.00",98%,360
Compra de vivienda,M,"1,730.00",32.89,Clase media,28,"24,444.00",62%,240
Construcción de vivienda,M,757.00,53.91,Clase social,28,"25,926.00",85%,240
Construcción de vivienda,M,"1,746.00",32.45,Clase social,28,"25,926.00",85%,240
Construcción de vivienda,F,"2,066.00",32.81,Clase social,28,"25,926.00",85%,240
Construcción de vivienda,M,"1,467.00",38.04,Clase social,28,"25,926.00",85%,240
Construcción de vivienda,M,"1,636.00",54.10,Clase social,28,"14,815.00",67%,156
Construcción de vivienda,M,"2,286.00",45.03,Clase social,28,"32,821.00",97%,360
Construcción de vivienda,M,"1,037.00",26.42,Clase social,28,"48,148.00",100%,360
Construcción de vivienda,M,"3,519.00",38.89,Clase media,28,"147,101.00",50%,360
Construcción de vivienda,F,"1,015.00",53.42,Clase social,28,"48,148.00",100%,360
Compra de vivienda,M,796.00,50.35,Clase media,28,"48,148.00",100%,360
Construcción de vivienda,F,"1,583.00",35.34,Clase media,28,"109,145.00",86%,360
Construcción de vivienda,F,"2,465.00",33.84,Clase social,28,"47,407.00",100%,360
Construcción de vivienda,F,"1,194.00",31.96,Clase social,28,"45,556.00",91%,336
Construcción de vivienda,M,"1,037.00",25.14,Clase social,28,"48,148.00",95%,360
Construcción de vivienda,M,"1,333.00",25.39,Clase social,28,"48,148.00",81%,360
Construcción de vivienda,M,"1,052.00",28.76,Clase social,28,"48,148.00",40%,360
Compra de vivienda,M,"3,519.00",37.89,Clase media,28,"147,101.00",44%,360
Compra de vivienda,M,"1,089.00",30.36,Clase social,28,"48,148.00",63%,360
Compra de vivienda,F,"1,718.00",22.55,Clase media,28,"48,148.00",43%,360
Compra de vivienda,M,"1,376.00",71.48,Clase media,28,"85,185.00",78%,360
Compra de vivienda,M,815.00,38.57,Clase social,28,"37,037.00",83%,360
Compra de vivienda,M,"4,444.00",50.99,Clase media,28,"147,702.00",74%,360
Compra de vivienda,M,759.00,41.65,Clase social,28,"38,519.00",81%,240
Construcción de vivienda,F,"1,258.00",53.39,Clase social,29,"48,140.00",100%,360
Construcción de vivienda,F,"2,520.00",34.12,Clase media,29,"40,292.00",90%,360
Construcción de vivienda,M,"2,062.00",29.97,Clase media,29,"40,000.00",89%,360
Compra de vivienda,M,"1,063.00",28.49,Clase media,29,"43,333.00",76%,360
Compra de vivienda,F,707.00,34.88,Clase social,29,"32,333.00",96%,360
Construcción de vivienda,M,"1,923.00",37.42,Clase social,29,"30,310.00",90%,240
Construcción de vivienda,M,981.00,49.85,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,M,"1,030.00",25.79,Clase media,29,"48,148.00",100%,360
Construcción de vivienda,F,963.00,41.11,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,M,819.00,32.56,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,F,852.00,37.97,Clase social,29,"48,102.00",100%,360
Construcción de vivienda,F,"1,778.00",38.68,Clase social,29,"32,333.00",97%,360
Construcción de vivienda,M,"1,483.00",33.40,Clase social,29,"31,253.00",94%,360
