DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,ENDEUDAMIENTO_%,MONTO_OTORGADO_$,Plazo_MESES
Construcción de vivienda,M,"1,593.00",78.71,Clase media,28,78.71,"61,939.00",360
Construcción de vivienda,M,608.00,48.56,Clase social,28,48.56,"34,130.00",360
Construcción de vivienda,F,"1,618.00",34.56,Clase social,28,34.56,"27,778.00",360
Construcción de vivienda,F,"1,024.00",34.53,Clase social,28,34.53,"34,130.00",360
Construcción de vivienda,F,"1,995.00",28.62,Clase social,28,28.62,"27,778.00",360
Compra de vivienda,F,"1,546.00",28.94,Clase media,28,28.94,"111,111.00",360
Compra de vivienda,M,"1,730.00",32.89,Clase media,28,32.89,"24,444.00",240
Construcción de vivienda,M,757.00,53.91,Clase social,28,53.91,"25,926.00",240
Construcción de vivienda,M,"1,746.00",32.45,Clase social,28,32.45,"25,926.00",240
Construcción de vivienda,F,"2,066.00",32.81,Clase social,28,32.81,"25,926.00",240
Construcción de vivienda,M,"1,467.00",38.04,Clase social,28,38.04,"25,926.00",240
Construcción de vivienda,M,"1,636.00",54.10,Clase social,28,54.10,"14,815.00",156
Construcción de vivienda,M,"2,286.00",45.03,Clase social,28,45.03,"32,821.00",360
Construcción de vivienda,M,"1,037.00",26.42,Clase social,28,26.42,"48,148.00",360
Construcción de vivienda,M,"3,519.00",38.89,Clase media,28,38.89,"147,101.00",360
Construcción de vivienda,F,"1,015.00",53.42,Clase social,28,53.42,"48,148.00",360
Compra de vivienda,M,796.00,50.35,Clase media,28,50.35,"48,148.00",360
Construcción de vivienda,F,"1,583.00",35.34,Clase media,28,35.34,"109,145.00",360
Construcción de vivienda,F,"2,465.00",33.84,Clase social,28,33.84,"47,407.00",360
Construcción de vivienda,F,"1,194.00",31.96,Clase social,28,31.96,"45,556.00",336
Construcción de vivienda,M,"1,037.00",25.14,Clase social,28,25.14,"48,148.00",360
Construcción de vivienda,M,"1,333.00",25.39,Clase social,28,25.39,"48,148.00",360
Construcción de vivienda,M,"1,052.00",28.76,Clase social,28,28.76,"48,148.00",360
Compra de vivienda,M,"3,519.00",37.89,Clase media,28,37.89,"147,101.00",360
Compra de vivienda,M,"1,089.00",30.36,Clase social,28,30.36,"48,148.00",360
Compra de vivienda,F,"1,718.00",22.55,Clase media,28,22.55,"48,148.00",360
Compra de vivienda,M,"1,376.00",71.48,Clase media,28,71.48,"85,185.00",360
Compra de vivienda,M,815.00,38.57,Clase social,28,38.57,"37,037.00",360
Compra de vivienda,M,"4,444.00",50.99,Clase media,28,50.99,"147,702.00",360
Compra de vivienda,M,759.00,41.65,Clase social,28,41.65,"38,519.00",240
Construcción de vivienda,F,"1,258.00",53.39,Clase social,29,53.39,"48,140.00",360
Construcción de vivienda,F,"2,520.00",34.12,Clase media,29,34.12,"40,292.00",360
Construcción de vivienda,M,"2,062.00",29.97,Clase media,29,29.97,"40,000.00",360
Compra de vivienda,M,"1,063.00",28.49,Clase media,29,28.49,"43,333.00",360
Compra de vivienda,F,707.00,34.88,Clase social,29,34.88,"32,333.00",360
Construcción de vivienda,M,"1,923.00",37.42,Clase social,29,37.42,"30,310.00",240
Construcción de vivienda,M,981.00,49.85,Clase social,29,49.85,"48,148.00",360
Construcción de vivienda,M,"1,030.00",25.79,Clase media,29,25.79,"48,148.00",360
Construcción de vivienda,F,963.00,41.11,Clase social,29,41.11,"48,148.00",360
Construcción de vivienda,M,819.00,32.56,Clase social,29,32.56,"48,148.00",360
Construcción de vivienda,F,852.00,37.97,Clase social,29,37.97,"48,102.00",360
Construcción de vivienda,F,"1,778.00",38.68,Clase social,29,38.68,"32,333.00",360
Construcción de vivienda,M,"1,483.00",33.40,Clase social,29,33.40,"31,253.00",360
Construcción de vivienda,F,598.00,32.28,Clase social,29,32.28,"30,000.00",360
Construcción de vivienda,M,"1,242.00",51.90,Clase social,29,51.90,"32,333.00",360
Construcción de vivienda,M,"1,180.00",47.95,Clase social,29,47.95,"30,333.00",360
Construcción de vivienda,M,"1,872.00",36.63,Clase social,29,36.63,"32,333.00",360
Construcción de vivienda,M,"1,815.00",34.16,Clase social,29,34.16,"31,473.00",360
Construcción de vivienda,M,"1,208.00",43.15,Clase social,29,43.15,"31,473.00",360
Construcción de vivienda,M,"1,714.00",32.09,Clase social,29,32.09,"30,333.00",360
Construcción de vivienda,M,"1,223.00",42.35,Clase social,29,42.35,"33,591.00",360
Construcción de vivienda,M,"1,373.00",52.20,Clase social,29,52.20,"34,130.00",360
Construcción de vivienda,M,"1,259.00",83.43,Clase media,29,83.43,"80,742.00",360
Construcción de vivienda,M,"1,481.00",32.82,Clase media,29,32.82,"63,881.00",360
Construcción de vivienda,M,"1,493.00",48.38,Clase social,29,48.38,"33,333.00",360
Construcción de vivienda,M,"2,351.00",38.18,Clase social,29,38.18,"29,907.00",360
Construcción de vivienda,F,"1,277.00",37.30,Clase social,29,37.30,"24,778.00",360
Construcción de vivienda,F,"1,486.00",36.70,Clase social,29,36.70,"34,130.00",360
Construcción de vivienda,F,567.00,44.86,Clase social,29,44.86,"32,693.00",360
Construcción de vivienda,F,"2,385.00",45.05,Clase social,29,45.05,"33,778.00",360
Construcción de vivienda,M,686.00,29.91,Clase media,29,29.91,"40,370.00",360
Construcción de vivienda,F,"1,481.00",33.99,Clase media,29,33.99,"50,000.00",360
Construcción de vivienda,M,"2,144.00",50.48,Clase social,29,50.48,"25,926.00",240
Construcción de vivienda,M,"1,808.00",42.90,Clase social,29,42.90,"34,130.00",360
Construcción de vivienda,F,"1,014.00",29.74,Clase social,29,29.74,"32,019.00",360
Construcción de vivienda,M,"1,356.00",51.06,Clase social,29,51.06,"32,693.00",360
Construcción de vivienda,F,"1,716.00",51.44,Clase social,29,51.44,"32,693.00",360
Construcción de vivienda,M,"1,052.00",25.76,Clase social,29,25.76,"48,148.00",360
Construcción de vivienda,M,974.00,28.65,Clase social,29,28.65,"29,630.00",360
Construcción de vivienda,M,537.00,54.78,Clase social,29,54.78,"32,069.00",360
Construcción de vivienda,F,"1,408.00",33.25,Clase social,29,33.25,"48,148.00",360
Construcción de vivienda,M,"1,321.00",30.79,Clase media,29,30.79,"69,333.00",360
Construcción de vivienda,M,926.00,26.63,Clase social,29,26.63,"48,148.00",360
Construcción de vivienda,F,946.00,36.97,Clase social,29,36.97,"40,419.00",360
Construcción de vivienda,F,"1,123.00",25.16,Clase social,29,25.16,"48,148.00",360
Construcción de vivienda,M,"1,285.00",25.92,Clase social,29,25.92,"48,148.00",360
Construcción de vivienda,M,"2,683.00",57.84,Clase media,29,57.84,"118,519.00",360
Compra de vivienda,M,918.00,44.96,Clase social,29,44.96,"48,143.00",360
Compra de vivienda,M,845.00,28.73,Clase social,29,28.73,"48,148.00",360
Compra de vivienda,M,"2,239.00",42.55,Clase media,29,42.55,"80,926.00",360
Compra de vivienda,M,773.00,48.74,Clase social,29,48.74,"46,296.00",288
Compra de vivienda,F,"3,222.00",49.73,Clase media,29,49.73,"148,131.00",360
Compra de vivienda,M,"1,167.00",28.88,Clase media,29,28.88,"48,148.00",360
Compra de vivienda,F,"1,845.00",40.50,Clase media,29,40.50,"98,939.00",360
Construcción de vivienda,F,649.00,47.77,Clase social,30,47.77,"48,148.00",360
Compra de vivienda,F,"1,111.00",37.98,Clase social,30,37.98,"48,145.00",360
Compra de vivienda,F,"2,212.00",54.40,Clase media,30,54.40,"31,481.00",360
Construcción de vivienda,M,"2,040.00",49.13,Clase media,30,49.13,"44,798.00",360
Construcción de vivienda,M,948.00,29.32,Clase social,30,29.32,"48,148.00",360
Construcción de vivienda,F,893.00,40.60,Clase social,30,40.60,"48,148.00",360
Construcción de vivienda,F,"2,475.00",34.90,Clase media,30,34.90,"35,333.00",360
Compra de vivienda,F,"1,938.00",52.95,Clase media,30,52.95,"33,333.00",360
Construcción de vivienda,M,"1,614.00",52.77,Clase social,30,52.77,"32,584.00",360
Construcción de vivienda,M,"1,667.00",44.74,Clase media,30,44.74,"96,112.00",360
Construcción de vivienda,F,963.00,36.40,Clase social,30,36.40,"48,148.00",360
Construcción de vivienda,F,948.00,39.79,Clase social,30,39.79,"48,148.00",365
Construcción de vivienda,F,921.00,54.20,Clase media,30,54.20,"64,815.00",360
Compra de vivienda,F,"1,222.00",22.91,Clase social,30,22.91,"31,481.00",240
Construcción de vivienda,F,"1,019.00",49.80,Clase media,30,49.80,"45,185.00",360
Construcción de vivienda,M,809.00,48.14,Clase media,30,48.14,"54,963.00",360
Construcción de vivienda,F,"1,259.00",35.57,Clase social,30,35.57,"31,101.00",360
Construcción de vivienda,M,"1,823.00",41.17,Clase social,30,41.17,"32,333.00",360
Construcción de vivienda,F,744.00,53.83,Clase social,30,53.83,"27,407.00",360
Construcción de vivienda,F,774.00,38.00,Clase social,30,38.00,"32,333.00",360
Construcción de vivienda,M,"1,717.00",30.86,Clase social,30,30.86,"32,019.00",240
Construcción de vivienda,M,"1,541.00",28.89,Clase social,30,28.89,"26,530.00",240
Construcción de vivienda,F,"1,066.00",35.74,Clase social,30,35.74,"32,019.00",360
Construcción de vivienda,F,"2,056.00",35.67,Clase social,30,35.67,"32,019.00",360
Construcción de vivienda,F,"1,066.00",44.66,Clase social,30,44.66,"32,333.00",360
Construcción de vivienda,F,606.00,36.44,Clase social,30,36.44,"33,411.00",240
Construcción de vivienda,M,902.00,48.43,Clase social,30,48.43,"32,333.00",360
Compra de vivienda,M,"1,395.00",36.38,Clase media,30,36.38,"34,817.00",360
Compra de vivienda,M,"2,414.00",44.08,Clase social,30,44.08,"32,019.00",240
Compra de vivienda,M,"2,289.00",33.79,Clase social,30,33.79,"32,019.00",360
Compra de vivienda,M,817.00,48.08,Clase social,30,48.08,"48,148.00",360
Construcción de vivienda,F,"1,923.00",31.70,Clase social,30,31.70,"34,130.00",360
Compra de vivienda,M,"1,507.00",38.85,Clase media,30,38.85,"40,741.00",360
Construcción de vivienda,M,636.00,29.06,Clase social,30,29.06,"32,333.00",360
Construcción de vivienda,M,"2,778.00",44.56,Clase media,30,44.56,"148,148.00",360
Construcción de vivienda,F,"1,995.00",50.98,Clase social,30,50.98,"25,926.00",264
Construcción de vivienda,M,"2,109.00",35.64,Clase social,30,35.64,"25,926.00",240
Construcción de vivienda,F,"1,963.00",52.93,Clase social,30,52.93,"25,926.00",264
Construcción de vivienda,F,573.00,54.97,Clase social,30,54.97,"25,926.00",240
Construcción de vivienda,M,832.00,30.26,Clase social,30,30.26,"25,926.00",240
Construcción de vivienda,M,"2,277.00",29.65,Clase social,30,29.65,"32,019.00",360
Construcción de vivienda,M,"2,231.00",40.56,Clase social,30,40.56,"32,019.00",240
Construcción de vivienda,M,"1,205.00",40.06,Clase media,30,40.06,"48,148.00",360
Construcción de vivienda,F,"1,111.00",45.73,Clase social,30,45.73,"48,148.00",360
Construcción de vivienda,F,852.00,33.46,Clase social,30,33.46,"48,148.00",360
Construcción de vivienda,M,"1,296.00",53.50,Clase social,30,53.50,"48,148.00",360
Construcción de vivienda,M,"2,170.00",46.80,Clase social,30,46.80,"48,148.00",360
Construcción de vivienda,F,"1,111.00",42.40,Clase social,30,42.40,"48,148.00",264
Construcción de vivienda,M,"1,408.00",33.25,Clase social,30,33.25,"48,148.00",360
Construcción de vivienda,M,"1,025.00",48.34,Clase social,30,48.34,"47,037.00",360
Compra de vivienda,F,"1,252.00",42.25,Clase social,30,42.25,"48,148.00",360
Compra de vivienda,F,"3,468.00",23.37,Clase media,30,23.37,"110,546.00",306
Compra de vivienda,M,"2,851.00",35.64,Clase media,30,35.64,"127,723.00",360
Compra de vivienda,F,"1,260.00",46.90,Clase media,30,46.90,"61,481.00",360
Compra de vivienda,F,"1,037.00",25.89,Clase social,30,25.89,"48,148.00",336
Compra de vivienda,F,"1,647.00",35.52,Clase media,30,35.52,"85,351.00",360
Compra de vivienda,F,"2,125.00",29.80,Clase social,31,29.80,"31,667.00",360
Construcción de vivienda,M,926.00,28.10,Clase social,31,28.10,"48,148.00",360
Construcción de vivienda,F,"1,366.00",34.48,Clase social,31,34.48,"34,130.00",360
Construcción de vivienda,F,"1,376.00",68.48,Clase media,31,68.48,"85,185.00",360
Construcción de vivienda,M,902.00,51.79,Clase social,31,51.79,"48,148.00",360
Construcción de vivienda,F,"1,906.00",43.78,Clase media,31,43.78,"86,860.00",360
Construcción de vivienda,M,"1,227.00",46.32,Clase social,31,46.32,"48,148.00",360
Construcción de vivienda,F,"1,787.00",52.66,Clase social,31,52.66,"32,333.00",360
Construcción de vivienda,F,"2,018.00",34.95,Clase social,31,34.95,"32,333.00",360
Construcción de vivienda,M,"1,876.00",33.79,Clase social,31,33.79,"30,741.00",360
Construcción de vivienda,M,"1,076.00",40.46,Clase media,31,40.46,"93,181.00",360
Construcción de vivienda,F,"1,573.00",38.87,Clase social,31,38.87,"32,222.00",360
Construcción de vivienda,M,840.00,41.89,Clase social,31,41.89,"31,667.00",360
Construcción de vivienda,M,"1,037.00",97.47,Clase media,31,97.47,"63,935.00",360
Construcción de vivienda,F,857.00,47.85,Clase social,31,47.85,"32,693.00",360
Construcción de vivienda,F,791.00,38.00,Clase social,31,38.00,"29,667.00",240
Construcción de vivienda,M,"1,254.00",30.08,Clase media,31,30.08,"39,000.00",360
Construcción de vivienda,M,"1,105.00",30.54,Clase social,31,30.54,"31,596.00",360
Construcción de vivienda,M,"1,855.00",29.44,Clase media,31,29.44,"28,889.00",360
Construcción de vivienda,M,882.00,49.14,Clase social,31,49.14,"25,926.00",240
Construcción de vivienda,M,"1,928.00",36.34,Clase social,31,36.34,"25,926.00",240
Construcción de vivienda,M,"1,434.00",42.67,Clase social,31,42.67,"25,926.00",360
Construcción de vivienda,F,"2,022.00",46.56,Clase social,31,46.56,"32,693.00",360
Construcción de vivienda,F,"2,453.00",39.53,Clase social,31,39.53,"32,693.00",360
Compra de vivienda,F,"1,481.00",29.51,Clase media,31,29.51,"57,593.00",360
Construcción de vivienda,M,"1,260.00",44.90,Clase media,31,44.90,"61,481.00",360
Construcción de vivienda,F,"1,313.00",40.11,Clase social,31,40.11,"30,556.00",360
Construcción de vivienda,M,748.00,41.24,Clase social,31,41.24,"27,963.00",360
Construcción de vivienda,F,"1,745.00",54.36,Clase social,31,54.36,"48,148.00",360
Construcción de vivienda,F,847.00,47.35,Clase social,31,47.35,"43,253.00",360
Construcción de vivienda,M,"1,058.00",37.61,Clase social,31,37.61,"48,148.00",304
Construcción de vivienda,F,926.00,25.10,Clase social,31,25.10,"48,148.00",360
Construcción de vivienda,M,"1,074.00",52.70,Clase social,31,52.70,"42,593.00",360
Compra de vivienda,M,"1,019.00",41.24,Clase social,31,41.24,"48,148.00",360
Compra de vivienda,F,796.00,47.69,Clase social,31,47.69,"48,141.00",276
Compra de vivienda,M,815.00,86.41,Clase media,31,86.41,"75,940.00",360
Compra de vivienda,F,"2,426.00",70.82,Clase media,31,70.82,"148,148.00",270
Compra de vivienda,F,689.00,47.33,Clase social,31,47.33,"40,741.00",360
Construcción de vivienda,M,"1,481.00",33.40,Clase social,32,33.40,"48,144.00",360
Construcción de vivienda,F,"1,019.00",42.24,Clase social,32,42.24,"48,148.00",360
Compra de vivienda,F,"2,017.00",38.70,Clase social,32,38.70,"17,364.00",360
Construcción de vivienda,M,901.00,37.70,Clase social,32,37.70,"31,980.00",240
Construcción de vivienda,M,"2,103.00",41.77,Clase media,32,41.77,"53,622.00",360
Construcción de vivienda,M,"2,523.00",40.68,Clase media,32,40.68,"81,572.00",360
Construcción de vivienda,F,"1,673.00",31.76,Clase media,32,31.76,"55,486.00",360
Compra de vivienda,F,"2,683.00",54.84,Clase media,32,54.84,"118,519.00",361
Compra de vivienda,M,"2,137.00",32.54,Clase media,32,32.54,"50,000.00",360
Compra de vivienda,M,"1,739.00",44.29,Clase media,32,44.29,"66,593.00",360
Compra de vivienda,F,775.00,38.19,Clase social,32,38.19,"29,907.00",240
Compra de vivienda,M,"1,956.00",46.44,Clase media,32,46.44,"59,259.00",360
Construcción de vivienda,M,"1,351.00",55.62,Clase media,32,55.62,"68,612.00",360
Construcción de vivienda,M,657.00,45.75,Clase social,32,45.75,"48,148.00",360
Construcción de vivienda,M,"1,115.00",45.15,Clase social,32,45.15,"48,148.00",360
Construcción de vivienda,F,"1,123.00",23.16,Clase social,32,23.16,"48,148.00",360
